id,wine,winery,rating_average,rating_reviews,location_nation,location_region,image,category
44,"Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard 2003","Schrader",4.9,29 ratings,"United States","Oakville",https://images.vivino.com/thumbs/GpcSXs2ERS6niDxoAsvESA_pb_x300.png,reds
45,"Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon 2013","B Cellars",4.9,28 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/-qHP6dTiRqiwYCFz2_RM-A_pb_x300.png,reds
46,"Cabernet Sauvignon 2010","Promise",4.9,28 ratings,"United States","Rutherford",https://images.vivino.com/thumbs/ELHDIsL6TOGR9_nfTRjC0w_pb_x300.png,reds
47,"Barolo Riserva Bussia 90 Dì 1978","Giacomo Fenocchio",4.9,27 ratings,"Italy","Barolo",https://images.vivino.com/thumbs/ng7T6hUVRpyuVKGeK5GWFg_pb_x300.png,reds
48,"Bucephalus Red Blend 2009","Black Stallion",4.9,27 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/LA6LTYifTuySY5scwk_odg_pb_x300.png,reds
49,"Pomerol 2002","Le Pin",4.9,27 ratings,"France","Pomerol",https://images.vivino.com/thumbs/rCirPraNRPy8PHfOlG4E2w_pb_x300.png,reds
50,"Échezeaux Grand Cru 1994","Domaine de La Romanée-Conti",4.9,26 ratings,"France","Échezeaux Grand Cru",https://images.vivino.com/thumbs/4acI_FD8QriZh2Fx_iv_oA_pb_x300.png,reds
51,"Red 2015","Benziger",4.9,25 ratings,"United States","Sonoma Mountain",https://images.vivino.com/thumbs/3PfOzi--Qa2d7zPQGH9h6g_pb_x300.png,reds
52,"Basaltico Amarone della Valpolicella 2004","Ernesto Ruffo",4.9,25 ratings,"Italy","Amarone della Valpolicella",https://images.vivino.com/thumbs/kB1XXwozQyKwmJfHannatg_pb_x300.png,reds
53,"Barolo Riserva Monfortino 1974","Conterno",4.9,25 ratings,"Italy","Barolo",https://images.vivino.com/thumbs/ElcyI1YpRSes_LvNodMeSQ_pb_x300.png,reds
54,"Barca Velha Douro 2000","Casa Ferreirinha",4.8,1489 ratings,"Portugal","Douro",https://images.vivino.com/thumbs/ooQmRipERdeq4HM4KGxlEA_pb_x300.png,reds
55,"Barca Velha Douro 1999","Casa Ferreirinha",4.8,1170 ratings,"Portugal","Douro",https://images.vivino.com/thumbs/ooQmRipERdeq4HM4KGxlEA_pb_x300.png,reds
56,"Unico 1996","Vega Sicilia",4.8,999 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/SCnpJk_ySUe6XS3U-lFOwQ_pb_x300.png,reds
57,"Grand Vin Pauillac (Premier Grand Cru Classé) 1982","Château Latour",4.8,977 ratings,"France","Pauillac",https://images.vivino.com/thumbs/4RHhCzeQTsCeyCScxO0LOw_pb_x300.png,reds
58,"Unico 1998","Vega Sicilia",4.8,968 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/SCnpJk_ySUe6XS3U-lFOwQ_pb_x300.png,reds
59,"Château Margaux (Premier Grand Cru Classé) 2000","Château Margaux",4.8,820 ratings,"France","Margaux",https://images.vivino.com/thumbs/dnqHnd0hSx-t14_V8uynAA_pb_x300.png,reds
60,"Pomerol 1989","Pétrus",4.8,744 ratings,"France","Pomerol",https://images.vivino.com/thumbs/RPhc1fBwT0uLKoE6_mteFQ_pb_x300.png,reds
61,"Unico 1995","Vega Sicilia",4.8,712 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/SCnpJk_ySUe6XS3U-lFOwQ_pb_x300.png,reds
62,"Amarone della Valpolicella Classico 2003","Quintarelli Giuseppe",4.8,657 ratings,"Italy","Amarone della Valpolicella Classico",https://images.vivino.com/thumbs/RqFtSGpgTlKL1VwkBjccxA_pb_x300.png,reds
63,"Pauillac (Premier Grand Cru Classé) 2003","Château Lafite Rothschild",4.8,631 ratings,"France","Pauillac",https://images.vivino.com/thumbs/uDMfPG10R1efm5H1do--Ow_pb_x300.png,reds
64,"Grand Vin Pauillac (Premier Grand Cru Classé) 2003","Château Latour",4.8,586 ratings,"France","Pauillac",https://images.vivino.com/thumbs/4RHhCzeQTsCeyCScxO0LOw_pb_x300.png,reds
65,"Toscana 2006","Masseto",4.8,550 ratings,"Italy","Toscana",https://images.vivino.com/thumbs/GPvEr_IUSKS1CDhhsY1ySg_pb_x300.png,reds
66,"Cobos Volturno 2013","Viña Cobos",4.8,540 ratings,"Argentina","Perdriel",https://images.vivino.com/thumbs/D1Mf1fYnRnageFjtfLXdFg_pb_x300.png,reds
67,"Toscana 2005","Masseto",4.8,534 ratings,"Italy","Toscana",https://images.vivino.com/thumbs/GPvEr_IUSKS1CDhhsY1ySg_pb_x300.png,reds
68,"Cobos Marchiori Vineyard Malbec 2015","Viña Cobos",4.8,522 ratings,"Argentina","Perdriel",https://images.vivino.com/thumbs/KOrKiHVjSlm4khPkAfU6yQ_pb_x300.png,reds
69,"Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1990","Château Cheval Blanc",4.8,516 ratings,"France","Saint-Émilion Grand Cru",https://images.vivino.com/thumbs/AIWJqsLoSIyz0HO4de1llA_pb_x300.png,reds
70,"Unico Reserva Especial Edición 2015","Vega Sicilia",4.8,505 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/k_UetHZ3Q2SMqUsliefGYQ_pb_x300.png,reds
71,"Sassicaia 1985","Tenuta San Guido",4.8,498 ratings,"Italy","Bolgheri Sassicaia",https://images.vivino.com/thumbs/L2ZTpFlDR2yMHe1-GA90Jw_pb_x300.png,reds
72,"Unico Reserva Especial Edición 1998","Vega Sicilia",4.8,483 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/k_UetHZ3Q2SMqUsliefGYQ_pb_x300.png,reds
73,"Dancing Bear Ranch 2012","Cakebread",4.8,462 ratings,"United States","Howell Mountain",https://images.vivino.com/thumbs/2H0CXyXZQKe4o_qX5WiN-w_pb_x300.png,reds
74,"Unico Reserva Especial Edición 2016","Vega Sicilia",4.8,451 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/k_UetHZ3Q2SMqUsliefGYQ_pb_x300.png,reds
75,"Cobos Volturno 2010","Viña Cobos",4.8,431 ratings,"Argentina","Perdriel",https://images.vivino.com/thumbs/D1Mf1fYnRnageFjtfLXdFg_pb_x300.png,reds
76,"Barca Velha Douro 1982","Casa Ferreirinha",4.8,422 ratings,"Portugal","Douro",https://images.vivino.com/thumbs/ooQmRipERdeq4HM4KGxlEA_pb_x300.png,reds
77,"Abacus Cabernet Sauvignon N.V.","ZD Wines",4.8,412 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/yjmpM9eFR6G_twL2P0zXCg_pb_x300.png,reds
78,"Ark Vineyard Cabernet Sauvignon 2009","Hundred Acre",4.8,410 ratings,"United States","Howell Mountain",https://images.vivino.com/thumbs/TQLu4uY6RuC0bW8QHDeIPw_pb_x300.png,reds
79,"Patriarch N.V.","Frank Family",4.8,405 ratings,"United States","Rutherford",https://images.vivino.com/thumbs/BFAcH67rRxyiZskkxTnnJQ_pb_x300.png,reds
80,"La Tâche Grand Cru 2007","Domaine de La Romanée-Conti",4.8,341 ratings,"France","La Tâche Grand Cru",https://images.vivino.com/thumbs/rUPGZo11SwW6haQta4COqQ_pb_x300.png,reds
81,"The Beast Cabernet Sauvignon N.V.","Del Dotto",4.8,344 ratings,"United States","Rutherford",https://images.vivino.com/thumbs/easjTPIcS-mCQ99XoYOMgQ_pb_x300.png,reds
82,"Unico 1970","Vega Sicilia",4.8,331 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/SCnpJk_ySUe6XS3U-lFOwQ_pb_x300.png,reds
